"","sacwt","batch16","tibia","edl","soleus","testis","abnormal.bmd"
"4368",NA,NA,NA,NA,NA,NA,NA
"26305",46.6,0,19.05,16.9,NA,0.1396,0
"26306",35.7,0,18.06,13.2,8.5,0.1692,0
"26307",34.1,0,18.14,11.2,6.8,0.1878,0
"26308",41.8,0,18.18,12.9,8.7,0.2002,0
"26309",39.5,0,18.35,14.1,9.2,0.1875,0
"26310",36,0,18.24,13.9,9.2,0.1826,0
"26312",32.4,0,18.2,11.4,6.8,0.2013,0
"26313",34.3,0,17.94,12.7,7.8,0.2232,1
"26315",46.4,0,19.19,13.9,10.7,0.2102,0
"26316",38.8,0,17.77,10.5,7,0.1962,0
"26317",35.5,0,18.31,12.7,8.4,0.15,0
"26318",38.8,0,18.19,14.4,8.3,0.1879,1
"26319",36.2,0,19.04,12,9.5,NA,0
"26320",34.8,0,17.77,14,8.4,0.2132,0
"26321",35,0,18.52,12.6,8.5,0.1862,0
"26322",45.7,0,18.31,NA,9.1,0.2065,0
"26323",37.3,0,18.61,14.9,9.7,0.165,1
"26324",42.9,0,18.37,12.5,8,0.1662,0
"26325",36.6,0,18.71,15.2,8.5,0.1601,NA
"26326",39.8,0,17.79,12.3,10.8,0.1914,NA
"26327",37.7,0,18.65,13.2,8.6,0.1489,0
"26328",35.5,0,17.83,11.8,8.9,0.1757,0
"26329",36.8,0,18.31,12.9,9,0.1898,0
"26330",37,0,18.28,12,8.8,0.1901,0
"26331",46.9,0,18.84,16.1,11.5,0.1864,0
"26332",38.8,0,18.47,12.2,8.5,0.2018,0
"26333",36,0,18.19,10.9,8,0.1816,1
"26334",43.8,0,18.29,11.9,10.5,0.2103,0
"26335",34.8,0,17.74,11,8.1,0.1492,0
"26336",38.7,0,18.78,14.1,9.4,0.1918,0
"26338",40,0,19.02,14.8,11.1,0.1882,0
"26339",40.5,0,18.35,12.7,8.7,0.1821,0
"26340",39.3,0,18.93,13.8,10.7,0.145,0
"26341",41.7,0,17.77,14.1,8.9,0.156,0
"26342",35.5,0,18.87,11.9,10,0.205,0
"26343",37.3,0,18.57,13.9,9.1,0.1826,0
"26344",36.2,0,18.52,11.6,8.6,0.1883,0
"26345",39.4,0,NA,NA,NA,0.2117,0
"26346",41.3,0,19.08,14,8.7,0.14,0
"26347",45.8,0,18.49,15.2,9.7,0.2029,0
"26348",38.6,0,18.47,12.9,9.9,0.1809,0
"26349",38.7,0,18.79,13.2,7.8,0.238,0
"26350",39.6,0,18.68,12.1,8.8,0.211,0
"26354",31,0,NA,NA,NA,0.1547,0
"26501",37,0,18.42,11.1,10.2,0.1789,0
"26502",40,0,18.72,12.1,9.3,0.1934,0
"26503",38,0,18.58,12.5,10.2,0.1796,0
"26504",38.5,0,18.36,14.1,10.4,0.1682,0
"26505",36,0,18.19,11.6,9.5,0.1614,0
"26506",41.8,0,18.36,13.2,9.7,0.178,0
"26507",39.9,0,17.97,13.7,8.8,0.1587,0
"26508",35.4,0,18.06,11.2,9.1,0.1583,0
"26509",38.4,0,18.25,14,11.5,0.1976,1
"26510",40.9,0,18.16,13.8,9.1,0.2073,1
"26511",37.4,0,18.49,11.7,9.5,0.1759,0
"26512",35.8,0,17.59,11.7,8,0.1737,0
"26513",37.5,0,18.05,10.3,7.6,0.1965,0
"26514",43.3,0,18.71,14,10.4,0.1604,0
"26515",42.3,0,18.34,12.6,10.1,0.1952,0
"26516",43.2,0,18.25,13.1,9.7,0.1935,0
"26517",39.2,0,18.64,12.1,8.7,0.2027,0
"26518",34.4,0,18.34,12,7.3,0.1685,0
"26519",43,0,17.7,13.5,8.9,0.1901,1
"26521",40.1,0,18.1,11.5,9.3,0.195,0
"26522",39.9,0,18.3,10.4,9.6,0.1951,0
"26523",39.6,0,18.18,12.6,10.8,0.1835,0
"26524",41.6,0,18.14,11.7,10.5,0.1816,1
"26525",42,0,18,14.7,9.1,0.1606,0
"26526",39.7,0,19.33,14.2,9.9,0.182,0
"26527",32.7,0,18.16,12.5,7.8,0.2162,0
"26528",50.9,0,19.01,15.5,9.5,0.2184,0
"26529",39.2,0,18.61,11.3,9.9,0.1644,0
"26531",47.2,0,18.67,11.7,9.2,0.2086,1
"26532",37.2,0,18.74,10.3,9,0.1916,0
"26533",36.8,0,18.32,12.7,9.4,0.1988,0
"26534",35.7,0,17.84,10.9,8.4,0.184,NA
"26535",31.5,0,18.11,10.8,7.5,0.1563,0
"26536",42.9,0,18.61,13.3,11.1,0.1837,0
"26537",37.5,0,18.86,14.7,10.5,0.1831,1
"26538",36.8,0,18.17,12.4,10.4,0.142,1
"26539",32.6,0,18.06,10.9,8.5,0.2036,0
"26540",34.5,0,18.09,10.8,8.3,0.1276,0
"26541",40,0,18.69,11.3,10.1,0.2354,0
"26543",NA,0,19,15.8,8.6,0.2074,0
"26544",47.1,0,18.48,12.8,10.9,0.2086,0
"26545",36.8,0,17.53,12.5,8.7,0.165,0
"26546",36.5,0,17.88,12.2,8.4,0.1436,1
"26547",45.6,0,18.6,15.8,12.4,0.2109,0
"26548",34.5,0,18.2,11.7,9.1,0.1943,0
"26646",39.1,0,18.38,12.6,9.4,0.1902,0
"26647",42.4,0,18.48,12.2,10,0.1622,0
"26648",43.7,0,18.84,15,10.1,0.1659,0
"26649",38.2,0,18.44,13.1,9,0.203,0
"26651",35.9,0,18.5,12.1,9.3,0.1932,0
"26652",33.4,0,18.71,13.1,10,0.1789,0
"26653",55.7,0,18.76,14.3,10.8,0.1759,0
"26655",33.3,0,17.88,11.6,10.1,0.1763,0
"26657",34.8,0,18.69,12.9,9.7,0.1518,0
"26659",42.7,0,18.35,12.6,9.2,0.1825,0
"26660",42.2,0,18.73,15.3,10.2,0.1742,0
"26661",35.6,0,18.1,13.1,7.9,0.2091,0
"26662",32.4,0,17.97,11.4,8,0.1706,0
"26664",39.5,0,18.37,12.9,9.3,0.1674,0
"26665",48.2,0,18.63,16.2,11.5,0.2403,1
"26667",43.7,0,18.84,14,9.9,0.169,0
"26668",40.4,0,17.83,14.7,9.8,0.1602,0
"26671",34,0,17.42,12.1,8.7,0.1763,0
"26672",41.7,0,19,13,9.1,0.1794,1
"26673",38.1,0,19.01,15,10.2,0.1725,0
"26701",33.5,0,18.37,10.4,8.5,0.2013,0
"26702",44.6,0,18.53,11.5,11,0.1721,0
"26703",45.9,0,18.33,11.7,7.5,0.1886,0
"26704",34.8,0,17.94,13.2,7.7,0.1939,0
"26705",40.6,0,18.65,12.4,9.8,0.1868,0
"26706",47.9,0,18.22,13,10.9,0.1942,1
"26707",36.8,0,18.67,12.7,8,0.2024,0
"26708",36.8,0,18.58,13.7,9.1,0.1969,0
"26710",34.3,0,17.76,11.2,7.8,0.203,0
"26711",43.6,0,18.51,14.1,9.5,0.2044,0
"26712",43.6,0,18.69,14.9,8.5,0.236,0
"26713",38.4,0,18.65,12.9,7.4,0.1984,0
"26715",30.9,0,18.44,14.2,7.5,0.1653,0
"26716",32.1,0,18.42,14.8,10,0.2004,0
"26717",30.2,0,17.93,9.9,7.4,0.1272,NA
"26718",43.1,0,18.69,12.3,11.2,0.2161,0
"26720",35.9,0,18.17,11.7,8.2,0.1531,0
"42402",36.8,0,18.47,12.7,10.3,0.19,0
"42403",NA,0,17.56,10.9,8.9,0.1589,1
"42404",31.7,0,18.34,12.1,9.6,0.181,1
"42405",36.8,0,18.24,13.9,8.8,0.1905,0
